CountryName,Year,SuicideRate,GDP_PerCapita,Continent
Montenegro,2010,10.4,6682.281158,Europe
Morocco,2010,3.7,2839.925168,Africa
Mozambique,2010,5.6,431.5154715,Africa
Myanmar,2010,7.3,979.05163,Asia
Namibia,2010,10.4,5324.61704,Africa
Nepal,2010,10.5,592.4010975,Asia
Netherlands,2010,10,50950.03434,Europe
New Zealand,2010,13,33692.01083,Oceania
Nicaragua,2010,12.5,1503.867544,North America
Niger,2010,4.9,347.3430407,Africa
Nigeria,2010,10,2292.445156,Africa
Norway,2010,12.6,87770.26684,Europe
Oman,2010,3.7,19281.16563,Asia
Pakistan,2010,3.1,988.7541283,Asia
Panama,2010,5.1,8082.028459,North America
Papua New Guinea,2010,5.4,1949.34856,Oceania
Paraguay,2010,9.3,4355.934939,South America
Peru,2010,4.6,5082.354757,South America
Philippines,2010,3.3,2124.05677,Asia
Poland,2010,18.6,12599.53358,Europe
Portugal,2010,13.5,22538.65408,Europe
Qatar,2010,6.1,67403.1603,Asia
Romania,2010,14,8209.919456,Europe
Russia,2010,40,10674.9972,Europe
Rwanda,2010,7.5,576.049201,Africa
Samoa,2010,5,3458.188715,Oceania
Sao Tome and Principe,2010,2,1094.710636,Africa
Saudi Arabia,2010,3.4,19262.54768,Asia
Senegal,2010,6.9,1278.977754,Africa
Serbia,2010,15.9,5735.422857,Europe
Seychelles,2010,9.4,10804.68447,Africa
Sierra Leone,2010,9.2,401.8350014,Africa
Singapore,2010,10,47236.96023,Asia
Slovenia,2010,20.7,23437.47202,Europe
Solomon Islands,2010,5.8,1290.398779,Oceania
South Africa,2010,12.2,7328.593646,Africa
Spain,2010,7,30736.62785,Europe
Sri Lanka,2010,19.1,2799.648876,Asia
Sudan,2010,8,1489.876911,Africa
Suriname,2010,27,8255.796859,South America
Sweden,2010,15.3,52132.91853,Europe
Switzerland,2010,16.2,74605.72102,Europe
Tajikistan,2010,2.5,749.552711,Asia
Thailand,2010,14.3,5076.342992,Asia
Timor-Leste,2010,5.3,3656.952175,Asia
Togo,2010,9.5,533.508792,Africa
Tonga,2010,3.6,3553.220614,Oceania
Trinidad and Tobago,2010,14.5,16683.35538,North America
Tunisia,2010,3.6,4141.976353,Africa
Turkey,2010,8.4,10672.38925,Asia
Turkmenistan,2010,7.6,4439.200382,Asia
Uganda,2010,10.5,622.4988457,Africa
Ukraine,2010,27.1,2965.142365,Europe
United Arab Emirates,2010,3,33893.30351,Asia
United Kingdom,2010,7.8,39079.84261,Europe
United States of America,2010,13.2,48466.82338,North America
Uruguay,2010,16.6,11992.01663,South America
Uzbekistan,2010,6,1377.08214,Asia
