,country,year,age,total_pop,total_suicides,suicide_rate
2049,Uzbekistan,1995,55-74 years,1769000,235,13.28434144
2055,Uzbekistan,1996,55-74 years,1779200,250,14.05125899
2061,Uzbekistan,1997,55-74 years,1793800,209,11.65124317
2067,Uzbekistan,1998,55-74 years,1783100,202,11.32858505
2073,Uzbekistan,1999,55-74 years,1741489,162,9.302384339
2079,Uzbekistan,2000,55-74 years,1698181,201,11.83619414
2085,Uzbekistan,2001,55-74 years,1673474,170,10.15850859
2091,Uzbekistan,2002,55-74 years,1666567,127,7.620455703
2097,Uzbekistan,2003,55-74 years,1667398,131,7.856552545
2103,Uzbekistan,2004,55-74 years,1672689,102,6.097965611
2109,Uzbekistan,2005,55-74 years,1705549,115,6.742696926
2115,Uzbekistan,2009,55-74 years,2091036,96,4.591025693
2121,Uzbekistan,2010,55-74 years,2198385,118,5.367576653
2127,Uzbekistan,2011,55-74 years,2304701,95,4.122009753
2133,Uzbekistan,2012,55-74 years,2424547,158,6.51668126
2139,Uzbekistan,2013,55-74 years,2559088,140,5.470698936
2145,Uzbekistan,2014,55-74 years,2710046,165,6.088457539
2151,Uzbekistan,2017,55-74 years,2710046,171,6.309855995
2157,Uzbekistan,2018,55-74 years,2710046,198,7.306149047
2163,Uzbekistan,2019,55-74 years,2710046,195,7.195449819
2020,Uzbekistan,1990,75+ years,336700,47,13.95901396
2026,Uzbekistan,1991,75+ years,331700,50,15.07386192
2032,Uzbekistan,1992,75+ years,358400,48,13.39285714
2038,Uzbekistan,1993,75+ years,333200,42,12.60504202
2044,Uzbekistan,1994,75+ years,300000,35,11.66666667
2050,Uzbekistan,1995,75+ years,292800,26,8.879781421
2056,Uzbekistan,1996,75+ years,292000,30,10.2739726
2062,Uzbekistan,1997,75+ years,295200,26,8.807588076
2068,Uzbekistan,1998,75+ years,298600,23,7.70261219
2074,Uzbekistan,1999,75+ years,307972,26,8.442325926
2080,Uzbekistan,2000,75+ years,322069,31,9.625266635
2086,Uzbekistan,2001,75+ years,335795,31,9.231822987
2092,Uzbekistan,2002,75+ years,354310,31,8.749400243
2098,Uzbekistan,2003,75+ years,371668,23,6.188318607
2104,Uzbekistan,2004,75+ years,393177,19,4.83242916
2110,Uzbekistan,2005,75+ years,409797,20,4.880465206
2116,Uzbekistan,2009,75+ years,510989,14,2.739785005
2122,Uzbekistan,2010,75+ years,519059,14,2.697188566
2128,Uzbekistan,2011,75+ years,535618,15,2.800503344
2134,Uzbekistan,2012,75+ years,552270,19,3.440346207
2140,Uzbekistan,2013,75+ years,566182,21,3.709054686
2146,Uzbekistan,2014,75+ years,573460,26,4.533882049
2152,Uzbekistan,2017,75+ years,573460,21,3.661981655
2158,Uzbekistan,2018,75+ years,573460,12,2.092560946
2164,Uzbekistan,2019,75+ years,573460,17,2.96446134
