"","age","X","country","year","total_pop","total_suicides","suicide_rate","age_order"
"216","15-24 years",1026,"Russian Federation",2017,15648880,1781,11.38100618,1
"217","15-24 years",1032,"Russian Federation",2018,15648880,1765,11.27876244,1
"218","15-24 years",1038,"Russian Federation",2019,15648880,1732,11.06788473,1
"219","15-24 years",1278,"South Africa",2000,9447382,59,0.624511637,1
"220","15-24 years",1284,"South Africa",2001,9597346,113,1.177408838,1
"221","15-24 years",1290,"South Africa",2002,9746473,81,0.831069865,1
"222","15-24 years",1296,"South Africa",2003,9887478,71,0.71807998,1
"223","15-24 years",1302,"South Africa",2004,10009423,100,0.999058587,1
"224","15-24 years",1308,"South Africa",2005,10105109,121,1.1974141,1
"225","15-24 years",325,"Belgium",2005,1265361,124,9.799574983,1
"226","15-24 years",331,"Belgium",2006,1275152,113,8.861688646,1
"227","15-24 years",337,"Belgium",2007,1286682,113,8.78227876,1
"228","15-24 years",343,"Belgium",2008,1298809,147,11.31806139,1
"229","15-24 years",349,"Belgium",2009,1308069,124,9.479622252,1
"230","15-24 years",355,"Belgium",2010,1311350,130,9.913447973,1
"231","15-24 years",361,"Belgium",2011,1333112,150,11.25186781,1
"232","15-24 years",367,"Belgium",2012,1340850,128,9.546183391,1
"233","15-24 years",373,"Belgium",2013,1335693,118,8.834365382,1
"234","15-24 years",379,"Belgium",2014,1329071,112,8.426938817,1
"235","15-24 years",385,"Belgium",2015,1321558,114,8.626182127,1
"236","15-24 years",1380,"South Africa",2018,10296412,88,0.854666655,1
"237","15-24 years",625,"New Zealand",1990,562200,130,23.12344361,1
"238","15-24 years",631,"New Zealand",1991,575200,125,21.73157163,1
"239","15-24 years",2159,"Uzbekistan",2019,6119722,788,12.8764019,1
"240","15-24 years",1643,"United Kingdom",1985,9280414,497,5.355364534,1
"241","15-24 years",1649,"United Kingdom",1986,9253692,546,5.900347667,1
"242","15-24 years",1655,"United Kingdom",1987,9148861,566,6.186562458,1
"243","15-24 years",1661,"United Kingdom",1988,8963026,685,7.642508233,1
"244","15-24 years",1667,"United Kingdom",1989,8715190,569,6.528830697,1
"245","15-24 years",1673,"United Kingdom",1990,8456454,613,7.248901253,1
"246","15-24 years",1679,"United Kingdom",1991,8239851,574,6.966145383,1
"247","15-24 years",691,"New Zealand",2001,533150,110,20.63209228,1
"248","15-24 years",697,"New Zealand",2002,551980,96,17.39193449,1
"249","15-24 years",703,"New Zealand",2003,574270,97,16.89100946,1
"250","15-24 years",709,"New Zealand",2004,585500,113,19.29974381,1
"251","15-24 years",715,"New Zealand",2005,594470,108,18.16744327,1
"252","15-24 years",721,"New Zealand",2006,604740,119,19.6778781,1
"253","15-24 years",727,"New Zealand",2007,612650,93,15.17995593,1
"254","15-24 years",733,"New Zealand",2008,619140,121,19.54323739,1
"255","15-24 years",739,"New Zealand",2009,627460,115,18.32786154,1
"256","15-24 years",745,"New Zealand",2010,637560,112,17.56697409,1
"257","15-24 years",751,"New Zealand",2011,642410,129,20.08063386,1
"258","15-24 years",757,"New Zealand",2012,641460,148,23.07236616,1
"259","15-24 years",763,"New Zealand",2013,627380,112,17.85201951,1
"260","15-24 years",1763,"United Kingdom",2005,7885716,384,4.869564159,1
"261","15-24 years",1769,"United Kingdom",2006,8020060,382,4.763056635,1
"262","15-24 years",1775,"United Kingdom",2007,8156273,379,4.646730192,1
"263","15-24 years",1781,"United Kingdom",2008,8215578,404,4.917487242,1
"264","15-24 years",1787,"United Kingdom",2009,8220459,416,5.060544673,1
"265","15-24 years",1793,"United Kingdom",2010,8221706,450,5.473316608,1
"266","15-24 years",1799,"United Kingdom",2011,8238844,446,5.413380809,1
"267","15-24 years",1805,"United Kingdom",2012,8258782,434,5.25501218,1
"268","15-24 years",1811,"United Kingdom",2013,8198164,412,5.025515469,1
"269","15-24 years",1817,"United Kingdom",2014,8163753,435,5.328431666,1
"270","15-24 years",1823,"United Kingdom",2015,8118556,478,5.88774654,1
"271","15-24 years",1829,"United Kingdom",2017,8118556,440,5.419683008,1
"272","15-24 years",1835,"United Kingdom",2018,8118556,570,7.020952987,1
"273","15-24 years",1841,"United Kingdom",2019,8118556,614,7.562921288,1
"274","15-24 years",1877,"Uruguay",1995,531648,61,11.47375707,1
"275","15-24 years",1883,"Uruguay",1996,534328,57,10.66760492,1
"276","15-24 years",1889,"Uruguay",1997,534486,60,11.22573837,1
"277","15-24 years",1895,"Uruguay",1998,532518,63,11.83058601,1
"278","15-24 years",859,"Qatar",2016,382200,13,3.401360544,1
"279","15-24 years",2153,"Uzbekistan",2018,6119722,741,12.10839316,1
"280","15-24 years",2147,"Uzbekistan",2017,6119722,830,13.56270759,1
"281","15-24 years",655,"Norway",1996,576300,78,13.53461739,1
"282","15-24 years",661,"Norway",1997,564000,71,12.58865248,1
"283","15-24 years",1643,"United States",1985,39551000,5121,12.9478395,1
"284","15-24 years",673,"Norway",1999,547180,103,18.82378742,1
"285","15-24 years",1937,"Uruguay",2005,497172,73,14.68304732,1
"286","15-24 years",1943,"Uruguay",2006,497952,62,12.45099929,1
"287","15-24 years",1949,"Uruguay",2007,501433,82,16.35313192,1
"288","15-24 years",1955,"Uruguay",2008,506681,68,13.42067297,1
"289","15-24 years",1961,"Uruguay",2009,512018,77,15.0385338,1
"290","15-24 years",1967,"Uruguay",2010,516236,80,15.49678829,1
"291","15-24 years",637,"Norway",1993,617200,87,14.09591704,1
"292","15-24 years",643,"Norway",1994,603000,77,12.7694859,1
"293","15-24 years",649,"Norway",1995,589300,84,14.2541999,1
"294","15-24 years",733,"Norway",2009,620749,69,11.11560389,1
"295","15-24 years",739,"Norway",2010,635094,72,11.33690446,1
"296","15-24 years",667,"Norway",1998,554300,88,15.87587949,1
"297","15-24 years",864,"Russian Federation",1989,19724600,3209,16.26902447,1
"298","15-24 years",679,"Norway",2000,542511,84,15.48355702,1
"299","15-24 years",685,"Norway",2001,541052,81,14.9708346,1
"300","15-24 years",691,"Norway",2002,544101,64,11.76252203,1
"301","15-24 years",697,"Norway",2003,550506,75,13.62382971,1
"302","15-24 years",703,"Norway",2004,558489,78,13.96625538,1
"303","15-24 years",709,"Norway",2005,568574,70,12.31150211,1
"304","15-24 years",715,"Norway",2006,580476,86,14.81542734,1
"305","15-24 years",721,"Norway",2007,593457,59,9.941748096,1
"306","15-24 years",727,"Norway",2008,607048,69,11.36648173,1
"307","15-24 years",1703,"United States",1995,35946600,4784,13.30863002,1
"308","15-24 years",1709,"United States",1996,36221800,4358,12.03142859,1
"309","15-24 years",745,"Norway",2011,649113,78,12.01639776,1
"310","15-24 years",1721,"United States",1998,37213500,4135,11.11155898,1
"311","15-24 years",870,"Russian Federation",1990,19709400,3515,17.83412991,1
"312","15-24 years",876,"Russian Federation",1991,19810000,3626,18.30388693,1
"313","15-24 years",769,"Norway",2015,670122,60,8.953593525,1
"314","15-24 years",1362,"South Africa",2014,10287628,176,1.710792809,1
"315","15-24 years",1368,"South Africa",2015,10296412,124,1.204303014,1
"316","15-24 years",1374,"South Africa",2017,10296412,86,0.835242413,1
"317","15-24 years",619,"New Zealand",1989,568400,131,23.04714989,1
"318","15-24 years",853,"Qatar",2015,362614,15,4.136630136,1
"319","15-24 years",1697,"United States",1994,35942900,4956,13.78853682,1
"320","15-24 years",1314,"South Africa",2006,10168480,127,1.248957563,1
"321","15-24 years",1320,"South Africa",2007,10209576,130,1.273314386,1
"322","15-24 years",1715,"United States",1997,36579700,4186,11.44350555,1
"323","15-24 years",1332,"South Africa",2009,10253459,113,1.102067117,1
"324","15-24 years",1727,"United States",1999,37773512,3901,10.32734261,1
"325","15-24 years",1733,"United States",2000,39183891,3994,10.19296425,1
"326","15-24 years",1739,"United States",2001,39948367,3971,9.940331228,1
"327","15-24 years",1667,"United States",1989,36514000,4870,13.33735006,1
"328","15-24 years",1673,"United States",1990,37013300,4869,13.15473087,1
